Year,Player,Tm,start_pct,MP,PTS,TRB,AST,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,STL,BLK,TOV,PF,win_pct
2001,Shareef Abdur-Rahim,VAN,1,40,20.5,9.1,3.1,15.8,0.472,0.8,0.188,15,0.487,6.6,0.834,1.1,1,2.9,2.9,0.280487805
2001,Mike Bibby,VAN,1,38.9,15.9,3.7,8.4,14.1,0.454,3.5,0.379,10.6,0.478,2.3,0.761,1.3,0.1,3,1.8,0.280487805
2001,Michael Dickerson,VAN,0.985714286,37.4,16.3,3.3,3.3,14.6,0.417,3.3,0.374,11.3,0.429,3.9,0.763,0.9,0.4,2.3,3,0.280487805
2001,Othella Harrington,VAN,0.909090909,28.8,10.9,6.6,0.8,8.8,0.466,0.1,0,8.7,0.47,3.5,0.779,0.4,0.6,2.4,3.1,0.280487805
2001,Bryant Reeves,VAN,0.64,24.4,8.3,6,1.1,7.4,0.46,0.1,0.25,7.3,0.462,1.9,0.796,0.6,0.7,1.2,3.2,0.280487805
2001,Calbert Cheaney,DEN,0.555555556,17,2.3,2.2,1,3.3,0.333,0,,3.3,0.333,0.2,0.5,0.4,0.2,0.6,1.6,0.487804878
2001,Raef LaFrentz,DEN,0.948717949,31.5,12.9,7.8,1.4,10.4,0.477,1.8,0.367,8.6,0.499,3.4,0.698,0.5,2.6,1.2,3.7,0.487804878
2001,Voshon Lenard,DEN,0.725,29.1,12.2,2.9,2.4,10.6,0.397,4.8,0.385,5.8,0.407,2.4,0.797,0.8,0.2,1.3,2.1,0.487804878
2001,Antonio McDyess,DEN,1,36.5,20.8,12.1,2.1,16.6,0.495,0,,16.6,0.495,6.2,0.7,0.6,1.5,2.3,3.1,0.487804878
2001,James Posey,DEN,1,27.5,8.1,5.3,2,7.2,0.412,2.6,0.3,4.5,0.477,1.7,0.816,1.1,0.5,1.2,2.8,0.487804878
2001,Nick Van Exel,DEN,0.985915493,37.9,17.7,3.4,8.5,15.7,0.414,5,0.377,10.6,0.431,3.5,0.819,0.9,0.3,2.3,1.5,0.487804878
2001,Darrell Armstrong,ORL,1,36.9,15.9,4.6,7,13.4,0.412,5.4,0.355,8,0.451,3.3,0.884,1.8,0.2,2.7,2.1,0.524390244
2001,Andrew DeClercq,ORL,0.76119403,13.5,3.9,3.5,0.5,2.9,0.554,0,,2.9,0.554,1.2,0.573,0.6,0.5,0.8,3,0.524390244
2001,Grant Hill  *,ORL,1,33.3,13.8,6.3,6.3,10.8,0.442,0.3,1,10.5,0.429,6.5,0.615,1.3,0.5,2.8,2.3,0.524390244
2001,Tracy McGrady  *,ORL,1,40.1,26.8,7.5,4.6,22.4,0.457,2.2,0.355,20.2,0.468,7.6,0.733,1.5,1.5,2.6,2.1,0.524390244
2001,Mike Miller,ORL,0.756097561,29.1,11.9,4,1.7,10.3,0.436,4.4,0.407,5.9,0.457,1.6,0.711,0.6,0.2,1.2,2.4,0.524390244
2001,Bo Outlaw,ORL,0.8625,31.7,7.3,7.7,2.8,4.6,0.614,0,0.5,4.6,0.615,2.8,0.573,1.3,1.7,1.8,3,0.524390244
2001,Michael Finley,DAL,1,42,21.5,5.2,4.4,18.9,0.458,3.2,0.346,15.7,0.481,4,0.775,1.4,0.4,2.3,2.1,0.646341463
2001,Juwan Howard,DAL,1,36.8,17.8,7.1,2.6,14.5,0.488,0.1,0,14.4,0.492,4.7,0.78,1.1,0.6,2.7,3.9,0.646341463
2001,Christian Laettner,DAL,0.660377358,17.5,7.5,4,1.3,6.1,0.511,0.1,0.333,6,0.513,1.5,0.817,0.8,0.5,1.3,3,0.646341463
2001,Steve Nash  *,DAL,1,34.1,15.6,3.2,7.3,11.3,0.487,3.1,0.406,8.2,0.518,3.7,0.895,1,0.1,2.9,2.3,0.646341463
2001,Dirk Nowitzki,DAL,1,38.1,21.8,9.2,2.1,15.2,0.474,4.8,0.387,10.5,0.513,6.6,0.838,1,1.2,1.9,3,0.646341463
2001,Courtney Alexander,WAS,0.666666667,33.7,17,3,1.5,14.6,0.448,1.3,0.389,13.3,0.454,3.9,0.857,1.1,0.1,2,2.3,0.231707317
2001,Calvin Booth,WAS,0.55,16,4.5,4.4,0.6,4.2,0.44,0,,4.2,0.44,1.1,0.733,0.4,2,0.9,2.3,0.231707317
2001,Hubert Davis,WAS,0.733333333,28.7,10.2,2,3.3,7.9,0.479,2.5,0.526,5.4,0.457,1.4,0.905,0.4,0,1.7,1.9,0.231707317
2001,Richard Hamilton,WAS,0.538461538,32.3,18.1,3.1,2.9,16,0.438,1.9,0.274,14.1,0.46,4.1,0.868,1,0.1,2.6,2.6,0.231707317
2001,Juwan Howard,WAS,1,36.7,18.2,7,2.9,15.3,0.474,0,,15.3,0.474,4.7,0.77,0.9,0.4,3.1,3.4,0.231707317
2001,Christian Laettner,WAS,0.52,29.3,13.2,6.1,2.3,9.1,0.491,0.4,0.3,8.7,0.5,4.9,0.844,1.2,0.8,2.7,3.3,0.231707317
2001,Felipe López,WAS,0.808510638,23.6,8.1,3.4,1.6,6.9,0.436,0.6,0.207,6.3,0.458,2.6,0.732,0.9,0.4,1.2,2.3,0.231707317
2001,Mitch Richmond  *,WAS,0.810810811,32.9,16.2,2.9,3,13.6,0.407,3.6,0.338,10,0.431,4.3,0.894,1.2,0.2,2.3,2.3,0.231707317
2001,Rod Strickland,WAS,0.848484848,30.9,12.2,3.2,7,10,0.426,0.5,0.25,9.5,0.435,4.5,0.782,1.3,0.1,2.5,1.7,0.231707317
2001,Jahidi White,WAS,0.823529412,23.7,8.6,7.7,0.3,6,0.498,0,0,6,0.499,4.6,0.567,0.5,1.6,2,3.1,0.231707317
2001,Chris Whitney,WAS,0.525423729,26,9.5,1.8,4.2,8,0.387,4.2,0.375,3.8,0.401,1.9,0.894,0.9,0.1,1.7,2.5,0.231707317
2001,Ray Allen  *,MIL,1,38.2,22,5.2,4.6,16,0.48,5.7,0.433,10.3,0.506,4.8,0.888,1.5,0.2,2.5,2.3,0.634146341
2001,Sam Cassell,MIL,0.986842105,35.6,18.2,3.8,7.6,14.9,0.474,1.3,0.306,13.6,0.49,4.3,0.858,1.2,0.1,2.9,2.8,0.634146341
2001,Mark Pope,MIL,0.714285714,15,2.4,2.3,0.6,2.3,0.437,0.4,0.208,1.9,0.483,0.6,0.629,0.3,0.4,0.3,2.2,0.634146341
