teamID,yearID,total_payroll,winning_pct,franchID,W,G
BAL,1990,9680084,47.20496894,BAL,76,161
BOS,1990,20558333,54.32098765,BOS,88,162
CAL,1990,21720000,49.38271605,ANA,80,162
CHA,1990,9491500,58.02469136,CHW,94,162
CLE,1990,14487000,47.5308642,CLE,77,162
DET,1990,17593238,48.7654321,DET,79,162
KCA,1990,23361084,46.58385093,KCR,75,161
MIN,1990,14602000,45.67901235,MIN,74,162
ML4,1990,19719167,45.67901235,MIL,74,162
NYA,1990,20912318,41.35802469,NYY,67,162
OAK,1990,19887501,63.58024691,OAK,103,162
SEA,1990,12553667,47.5308642,SEA,77,162
TEX,1990,14874372,51.2345679,TEX,83,162
TOR,1990,17756834,53.08641975,TOR,86,162
ATL,1990,14555501,40.12345679,ATL,65,162
CHN,1990,13624000,47.5308642,CHC,77,162
CIN,1990,14370000,56.17283951,CIN,91,162
HOU,1990,18330000,46.2962963,HOU,75,162
LAN,1990,21318704,53.08641975,LAD,86,162
MON,1990,16586388,52.4691358,WSN,85,162
NYN,1990,21722834,56.17283951,NYM,91,162
PHI,1990,13173667,47.5308642,PHI,77,162
PIT,1990,15556000,58.64197531,PIT,95,162
SDN,1990,17588334,46.2962963,SDP,75,162
SFN,1990,19335333,52.4691358,SFG,85,162
SLN,1990,20523334,43.20987654,STL,70,162
BAL,1991,17519000,41.35802469,BAL,67,162
BOS,1991,35167500,51.85185185,BOS,84,162
CAL,1991,33060001,50,ANA,81,162
CHA,1991,16919667,53.7037037,CHW,87,162
CLE,1991,17635000,35.18518519,CLE,57,162
DET,1991,23838333,51.85185185,DET,84,162
KCA,1991,26319834,50.61728395,KCR,82,162
MIN,1991,23361833,58.64197531,MIN,95,162
ML4,1991,23115500,51.2345679,MIL,83,162
NYA,1991,27344168,43.82716049,NYY,71,162
OAK,1991,36999167,51.85185185,OAK,84,162
SEA,1991,15691833,51.2345679,SEA,83,162
TEX,1991,18224500,52.4691358,TEX,85,162
TOR,1991,19902417,56.17283951,TOR,91,162
ATL,1991,18403500,58.02469136,ATL,94,162
CHN,1991,23175667,48.125,CHC,77,160
CIN,1991,26305333,45.67901235,CIN,74,162
HOU,1991,12852500,40.12345679,HOU,65,162
LAN,1991,32790664,57.40740741,LAD,93,162
MON,1991,10732333,44.09937888,WSN,71,161
NYN,1991,32590001,47.82608696,NYM,77,161
PHI,1991,22487332,48.14814815,PHI,78,162
PIT,1991,23634667,60.49382716,PIT,98,162
SDN,1991,22150001,51.85185185,SDP,84,162
SFN,1991,30967666,46.2962963,SFG,75,162
SLN,1991,21860001,51.85185185,STL,84,162
BAL,1992,23780667,54.9382716,BAL,89,162
BOS,1992,43610584,45.0617284,BOS,73,162
CAL,1992,34749334,44.44444444,ANA,72,162
CHA,1992,30160833,53.08641975,CHW,86,162
CLE,1992,9373044,46.91358025,CLE,76,162
DET,1992,27322834,46.2962963,DET,75,162
KCA,1992,33893834,44.44444444,KCR,72,162
MIN,1992,28027834,55.55555556,MIN,90,162
ML4,1992,31013667,56.79012346,MIL,92,162
NYA,1992,37543334,46.91358025,NYY,76,162
OAK,1992,41035000,59.25925926,OAK,96,162
SEA,1992,23179833,39.50617284,SEA,64,162
TEX,1992,30128167,47.5308642,TEX,77,162
TOR,1992,44788666,59.25925926,TOR,96,162
ATL,1992,34625333,60.49382716,ATL,98,162
CHN,1992,29829686,48.14814815,CHC,78,162
CIN,1992,35931499,55.55555556,CIN,90,162
HOU,1992,15407500,50,HOU,81,162
LAN,1992,44788166,38.88888889,LAD,63,162
MON,1992,15822334,53.7037037,WSN,87,162
NYN,1992,44602002,44.44444444,NYM,72,162
PHI,1992,24383834,43.20987654,PHI,70,162
PIT,1992,33944167,59.25925926,PIT,96,162
SDN,1992,26854167,50.61728395,SDP,82,162
SFN,1992,33163168,44.44444444,SFG,72,162
SLN,1992,27583836,51.2345679,STL,83,162
BAL,1993,29096500,52.4691358,BAL,85,162
BOS,1993,37120583,49.38271605,BOS,80,162
CAL,1993,28588334,43.82716049,ANA,71,162
CHA,1993,39696166,58.02469136,CHW,94,162
CLE,1993,18561000,46.91358025,CLE,76,162
DET,1993,38150165,52.4691358,DET,85,162
KCA,1993,41346167,51.85185185,KCR,84,162
MIN,1993,28217933,43.82716049,MIN,71,162
ML4,1993,23806834,42.59259259,MIL,69,162
NYA,1993,42624900,54.32098765,NYY,88,162
OAK,1993,37812333,41.97530864,OAK,68,162
SEA,1993,32696333,50.61728395,SEA,82,162
TEX,1993,36376959,53.08641975,TEX,86,162
TOR,1993,47279166,58.64197531,TOR,95,162
ATL,1993,41641417,64.19753086,ATL,104,162
CHN,1993,39386666,51.53374233,CHC,84,163
CIN,1993,44879666,45.0617284,CIN,73,162
COL,1993,10353500,41.35802469,COL,67,162
FLO,1993,19330545,39.50617284,FLA,64,162
HOU,1993,30210500,52.4691358,HOU,85,162
LAN,1993,39331999,50,LAD,81,162
MON,1993,18899333,57.66871166,WSN,94,163
NYN,1993,39043667,36.41975309,NYM,59,162
PHI,1993,28538334,59.87654321,PHI,97,162
PIT,1993,24822467,46.2962963,PIT,75,162
SDN,1993,25511333,37.65432099,SDP,61,162
SFN,1993,35050000,63.58024691,SFG,103,162
SLN,1993,23367334,53.7037037,STL,87,162
BAL,1994,38849769,56.25,BAL,63,112
BOS,1994,37859084,46.95652174,BOS,54,115
CAL,1994,25156218,40.86956522,ANA,47,115
CHA,1994,39183836,59.2920354,CHW,67,113
CLE,1994,30490500,58.40707965,CLE,66,113
DET,1994,41446501,46.08695652,DET,53,115
KCA,1994,40541334,55.65217391,KCR,64,115
MIN,1994,28438500,46.90265487,MIN,53,113
ML4,1994,24350500,46.08695652,MIL,53,115
