teamID,yearID,total_payroll,franchID,W,G
BAL,1990,9680084,BAL,76,161
BOS,1990,20558333,BOS,88,162
CAL,1990,21720000,ANA,80,162
CHA,1990,9491500,CHW,94,162
CLE,1990,14487000,CLE,77,162
DET,1990,17593238,DET,79,162
KCA,1990,23361084,KCR,75,161
MIN,1990,14602000,MIN,74,162
ML4,1990,19719167,MIL,74,162
NYA,1990,20912318,NYY,67,162
OAK,1990,19887501,OAK,103,162
SEA,1990,12553667,SEA,77,162
TEX,1990,14874372,TEX,83,162
TOR,1990,17756834,TOR,86,162
ATL,1990,14555501,ATL,65,162
CHN,1990,13624000,CHC,77,162
CIN,1990,14370000,CIN,91,162
HOU,1990,18330000,HOU,75,162
LAN,1990,21318704,LAD,86,162
MON,1990,16586388,WSN,85,162
NYN,1990,21722834,NYM,91,162
PHI,1990,13173667,PHI,77,162
PIT,1990,15556000,PIT,95,162
SDN,1990,17588334,SDP,75,162
SFN,1990,19335333,SFG,85,162
SLN,1990,20523334,STL,70,162
BAL,1991,17519000,BAL,67,162
BOS,1991,35167500,BOS,84,162
CAL,1991,33060001,ANA,81,162
CHA,1991,16919667,CHW,87,162
CLE,1991,17635000,CLE,57,162
DET,1991,23838333,DET,84,162
KCA,1991,26319834,KCR,82,162
MIN,1991,23361833,MIN,95,162
ML4,1991,23115500,MIL,83,162
NYA,1991,27344168,NYY,71,162
OAK,1991,36999167,OAK,84,162
SEA,1991,15691833,SEA,83,162
TEX,1991,18224500,TEX,85,162
TOR,1991,19902417,TOR,91,162
ATL,1991,18403500,ATL,94,162
CHN,1991,23175667,CHC,77,160
CIN,1991,26305333,CIN,74,162
HOU,1991,12852500,HOU,65,162
LAN,1991,32790664,LAD,93,162
MON,1991,10732333,WSN,71,161
NYN,1991,32590001,NYM,77,161
PHI,1991,22487332,PHI,78,162
PIT,1991,23634667,PIT,98,162
SDN,1991,22150001,SDP,84,162
SFN,1991,30967666,SFG,75,162
SLN,1991,21860001,STL,84,162
BAL,1992,23780667,BAL,89,162
BOS,1992,43610584,BOS,73,162
CAL,1992,34749334,ANA,72,162
CHA,1992,30160833,CHW,86,162
CLE,1992,9373044,CLE,76,162
DET,1992,27322834,DET,75,162
KCA,1992,33893834,KCR,72,162
MIN,1992,28027834,MIN,90,162
ML4,1992,31013667,MIL,92,162
NYA,1992,37543334,NYY,76,162
OAK,1992,41035000,OAK,96,162
SEA,1992,23179833,SEA,64,162
TEX,1992,30128167,TEX,77,162
TOR,1992,44788666,TOR,96,162
ATL,1992,34625333,ATL,98,162
CHN,1992,29829686,CHC,78,162
CIN,1992,35931499,CIN,90,162
HOU,1992,15407500,HOU,81,162
LAN,1992,44788166,LAD,63,162
MON,1992,15822334,WSN,87,162
NYN,1992,44602002,NYM,72,162
PHI,1992,24383834,PHI,70,162
PIT,1992,33944167,PIT,96,162
SDN,1992,26854167,SDP,82,162
SFN,1992,33163168,SFG,72,162
SLN,1992,27583836,STL,83,162
BAL,1993,29096500,BAL,85,162
BOS,1993,37120583,BOS,80,162
CAL,1993,28588334,ANA,71,162
CHA,1993,39696166,CHW,94,162
CLE,1993,18561000,CLE,76,162
DET,1993,38150165,DET,85,162
KCA,1993,41346167,KCR,84,162
MIN,1993,28217933,MIN,71,162
ML4,1993,23806834,MIL,69,162
NYA,1993,42624900,NYY,88,162
OAK,1993,37812333,OAK,68,162
SEA,1993,32696333,SEA,82,162
TEX,1993,36376959,TEX,86,162
TOR,1993,47279166,TOR,95,162
ATL,1993,41641417,ATL,104,162
CHN,1993,39386666,CHC,84,163
CIN,1993,44879666,CIN,73,162
COL,1993,10353500,COL,67,162
FLO,1993,19330545,FLA,64,162
HOU,1993,30210500,HOU,85,162
LAN,1993,39331999,LAD,81,162
MON,1993,18899333,WSN,94,163
NYN,1993,39043667,NYM,59,162
PHI,1993,28538334,PHI,97,162
PIT,1993,24822467,PIT,75,162
SDN,1993,25511333,SDP,61,162
SFN,1993,35050000,SFG,103,162
SLN,1993,23367334,STL,87,162
BAL,1994,38849769,BAL,63,112
BOS,1994,37859084,BOS,54,115
CAL,1994,25156218,ANA,47,115
CHA,1994,39183836,CHW,67,113
CLE,1994,30490500,CLE,66,113
DET,1994,41446501,DET,53,115
KCA,1994,40541334,KCR,64,115
MIN,1994,28438500,MIN,53,113
ML4,1994,24350500,MIL,53,115
NYA,1994,45731334,NYY,70,113
OAK,1994,34172500,OAK,51,114
SEA,1994,29228500,SEA,49,112
TEX,1994,32973597,TEX,52,114
TOR,1994,43433668,TOR,55,115
ATL,1994,49383513,ATL,68,114
CHN,1994,36287333,CHC,49,113
CIN,1994,40961833,CIN,66,115
COL,1994,23887333,COL,53,117
FLO,1994,21633000,FLA,51,115
HOU,1994,33126000,HOU,66,115
LAN,1994,38000001,LAD,58,114
MON,1994,19098000,WSN,74,114
NYN,1994,30956583,NYM,55,113
PHI,1994,31599000,PHI,54,115
PIT,1994,24217250,PIT,53,114
SDN,1994,14916333,SDP,47,117
SFN,1994,42638666,SFG,55,115
SLN,1994,29275601,STL,53,115
BAL,1995,43942521,BAL,71,144
BOS,1995,32455518,BOS,86,144
CAL,1995,31223171,ANA,78,145
CHA,1995,46961282,CHW,68,145
CLE,1995,37937835,CLE,100,144
DET,1995,37044168,DET,60,144
KCA,1995,29532834,KCR,70,144
